OfferPersonId,OfferId,Question,Textmatching,Duration,Cooperation,Price,Rank,User
554FA71C-4BBF-4C3C-B4F9-1DFFA2611688,5ADE8955-57B4-4F62-8DEB-51E812E44A7A,42,0,08 19:47,0,"155,35",2,NR
80199675-87DB-4040-B71E-D268ED0E9C68,EBA42FFD-4C5C-4801-9AF5-529E2EA3DA1F,43,40,06 17:17,0,"48,05",1,NR
048FE490-2375-450E-8208-E234EFF2F5F7,EBA42FFD-4C5C-4801-9AF5-529E2EA3DA1F,43,40,16 04:14,1,"37,66",3,NR
0CA7E10C-09BC-4142-8AB5-DAD97E07F223,EBA42FFD-4C5C-4801-9AF5-529E2EA3DA1F,43,50,09 17:32,1,"49,78",2,NR
E23C27DE-EA2A-4504-A0CA-448F8FBB2DFE,0E7C89EA-5E41-4809-9256-52B5AA41A7EC,44,10,13 08:50,1,"7,32",3,NR
3CA7C044-AE37-4BB3-B864-3D74A921F888,0E7C89EA-5E41-4809-9256-52B5AA41A7EC,44,50,09 03:57,1,"7,18",1,NR
B9B903BC-A891-470E-A6A8-217961920099,0E7C89EA-5E41-4809-9256-52B5AA41A7EC,44,50,16 12:41,1,"7,37",2,NR
87838253-0F02-4519-9E48-809BFDF9EF31,551D1ED2-321C-4A27-AC84-53608CA15828,45,0,14 17:17,0,"55,26",3,NR
2536A5CD-E23A-4F27-AD7E-D0246BD9603D,551D1ED2-321C-4A27-AC84-53608CA15828,45,20,11 23:15,1,"24,97",2,NR
F62EF0EB-71B6-4607-9D89-820A69F76E5C,551D1ED2-321C-4A27-AC84-53608CA15828,45,10,06 08:57,1,"32,89",1,NR
FEE29F9D-599D-4753-9CA0-AB0F1627A520,037A2248-D598-4B95-A74A-538F15523088,46,60,51 18:31,1,"516,04",1,NR
1BE8B561-818A-40ED-8738-5EC940262038,037A2248-D598-4B95-A74A-538F15523088,46,90,49 03:29,0,"661,12",2,NR
D92DA3AB-6260-4DE9-8D40-D1155D9216DF,037A2248-D598-4B95-A74A-538F15523088,46,20,55 16:35,0,"588,39",3,NR
84B089BA-1DA8-4F5D-AFB2-E18F3DA89F8E,C5C15FE0-41AD-4270-B139-53D17A902AE8,47,30,07 22:29,1,"18,54",3,NR
FF88E73A-844C-452F-864C-36C0EAD82DCB,C5C15FE0-41AD-4270-B139-53D17A902AE8,47,10,05 23:15,0,"18,41",2,NR
D3313BB8-3162-40C7-AC1A-5C4F34A29DE8,C5C15FE0-41AD-4270-B139-53D17A902AE8,47,90,08 01:53,1,"18,54",1,NR
BCE1E241-C542-4E4C-935F-23E6ECBAFADA,4AA5CCC7-6C9B-4744-ACB0-53D6037A6323,48,50,06 07:59,1,"9,07",1,NR
400020FB-90BF-4D83-8E2C-3036D7BA323C,4AA5CCC7-6C9B-4744-ACB0-53D6037A6323,48,80,08 13:49,2,"8,97",2,NR
E5F59C34-5BDC-4B1F-8E3F-C68C7A917220,4AA5CCC7-6C9B-4744-ACB0-53D6037A6323,48,80,10 13:51,0,"9,96",3,NR
3F8C6B74-C88A-4DE7-9F86-E161D09BB0A5,C3033B9B-FC67-40A9-A12D-548BD4960649,49,90,37 19:09,0,"680,71",1,NR
BFB5B1BC-9E0A-48E6-9A07-6BDCF8B7F703,C3033B9B-FC67-40A9-A12D-548BD4960649,49,70,45 00:16,0,"830,57",2,NR
F15FC0EF-2055-4860-9C36-FEC35C043ECA,C3033B9B-FC67-40A9-A12D-548BD4960649,49,70,45 00:16,1,"1280,06",3,NR
3BDD423E-5FA8-49DE-97D2-4E990D63703B,9EC7D5E0-9AA5-4B88-B18A-551E4606E95E,50,80,10 22:03,1,"51,14",2,NR
B34C9E92-1551-4DFC-A4BC-5C3EACA61863,9EC7D5E0-9AA5-4B88-B18A-551E4606E95E,50,70,07 21:00,1,"47,95",1,NR
6ADC97B5-6CA9-4456-B85C-33EF24C1949B,9EC7D5E0-9AA5-4B88-B18A-551E4606E95E,50,70,12 23:05,0,"48,27",3,NR
4B7AB6F1-6F7F-4A32-806E-8413FACBECD0,84701E87-8243-41D7-98FF-57A9A4A860E8,51,80,10 17:35,1,"110,14",2,PM
B6C2AB2B-DF92-4839-9E79-C4DD7C1F49D3,84701E87-8243-41D7-98FF-57A9A4A860E8,51,0,06 03:07,1,"44,18",3,PM
BB0D357D-6844-4044-8EDF-269DA8E61E7B,84701E87-8243-41D7-98FF-57A9A4A860E8,51,90,07 12:56,0,"66,8",1,PM
